diametro(mm),Cimento,Areia,Pedrisco,Brita
25.0,100.0,100.0,100.0,98.82
19.0,100.0,100.0,100.0,80.69
12.5,100.0,100.0,99.89,27.38
9.5,100.0,100.0,96.97,13.73
6.3,100.0,99.96,43.13,10.1
4.75,100.0,99.83,18.67,9.55
2.36,100.0,90.63,10.99,8.76
1.18,100.0,78.92,9.69,8.09
0.6,100.0,64.16,8.68,7.28
0.3,100.0,42.4,7.22,5.82
0.15,100.0,20.01,4.93,3.29
0.14,100.0,20.01,4.93,3.29
0.112,100.0,20.01,4.92,3.29
0.09,100.0,19.76,4.84,3.26
0.063,100.0,17.39,4.34,2.98
0.056,100.0,16.03,4.07,2.8
0.045,99.5,13.09,3.48,2.39
0.036,97.3,10.45,2.92,2.0
0.032,95.11,9.29,2.66,1.82
0.025,88.14,7.34,2.19,1.51
0.02,79.16,5.97,1.84,1.28
0.015,65.27,4.55,1.48,1.02
0.012,54.21,3.67,1.24,0.86
0.01,45.87,3.09,1.08,0.75
0.008,37.17,2.51,0.9,0.63
0.006,29.04,1.93,0.71,0.51
0.005,25.54,1.63,0.6,0.44
0.004,22.48,1.31,0.49,0.36
0.0032,20.12,1.04,0.39,0.29
0.0026,18.28,0.82,0.31,0.23
0.002,16.54,0.59,0.22,0.17
0.0014,14.88,0.38,0.15,0.11
0.001,13.08,0.26,0.1,0.08
0.0007,9.07,0.17,0.07,0.05
0.0005,6.69,0.11,0.05,0.03
0.0003,3.05,0.04,0.02,0.01
